process_id,process_name,process_description,process_type,process_category,main_sector,feedstocks,products
PROC_00025,Anaerobic Digestion with Gas Upgrading,"This process involves the anaerobic digestion of wet biomass, coupled with gas upgrading technology, to convert organic materials and hydrogen into methane. It serves as a renewable energy production method, integrating waste management with energy generation.",conversion,Anaerobic Digestion,Power,"['BioWet', 'H2']",['CH4']
PROC_00026,Sabatier Reactor,"The Sabatier Reactor facilitates the thermo-catalytic conversion of hydrogen (H2) and carbon dioxide (CO2) into methane (CH4) and water (H2O), utilizing a catalytic hydrogenation process. This process is integral to carbon capture and utilization systems, converting greenhouse gases into usable hydrocarbon fuels.",conversion,Thermochemical Upgrading,industry,"['H2', 'CO2Sys', 'H2Process', 'CO']","['CH4', 'ThHt', 'H2O']"
PROC_00027,SAF Production via Hydrotreatment of Used Cooking Oil and Animal Fat,"This process involves the hydrotreatment of used cooking oil and animal fat to produce sustainable aviation fuel (SAF). It converts raw feedstocks like CookingOil and animal fats into hydrocarbon-based fuels (C12, ThHt) using hydrogen (H2), electricity (El47), and methane (CH4) as auxiliary inputs. The process is integrated into the energy grid as a thermochemical upgrading pathway for waste-to-fuel conversion.",conversion,Thermochemical Upgrading,transport,"['CookingOil', 'H2', 'El47', 'CH4']","['C12', 'ThHt']"
PROC_00028,Methanol Synthesis,"A process that converts carbon dioxide and hydrogen into methanol through catalytic hydrogenation, serving as a key step in carbon capture and utilization within the industrial energy system.",conversion,Thermochemical Upgrading,industry,"['H2', 'CO2Sys', 'COSys', 'H2Process', 'CO']","['MeOH', 'ThHt']"
PROC_00029,Reverse Water Gas Shift,"The Reverse Water Gas Shift process converts hydrogen and carbon dioxide into carbon monoxide and water through a catalytic reaction, facilitating carbon capture and utilization in industrial applications.",conversion,Catalytic conversion,industry,"['H2', 'CO2Sys', 'ThPhII']","['CO', 'H2O']"
PROC_00030,Hydrogen Production via Alkaline Electrolysis,"Produces hydrogen through alkaline electrolysis, converting electrical energy into hydrogen gas. Integrated into the energy grid for hydrogen generation.",conversion,Electrolysis,power,['El47'],['H2']
PROC_00031,Fischer-Tropsch Hydrocarbon Synthesis,"The Fischer-Tropsch process converts syngas (a mixture of hydrogen and carbon monoxide) into liquid hydrocarbons, such as C12, through a series of chemical reactions. This process is a key component of synthetic fuel production and is integrated into the energy system for hydrocarbon synthesis and thermal energy generation.",conversion,Thermochemical Upgrading,transport,"['H2Process', 'CO']","['C12', 'ThHt', 'H2O', 'C8']"
PROC_00032,Municipal Solid Waste Gasification to Syngas,"Conversion of municipal solid waste (MSW) into syngas through gasification in a fluidised bed reactor, utilizing oxygen and thermal heat. The process produces hydrogen (H2), carbon dioxide (CO2), and other byproducts such as carbon monoxide (CO).",conversion,Thermochemical Upgrading,power,"['Msw', 'O2', 'ThHt', 'Wood']","['H2', 'CO2Sys', 'H2Process', 'CO']"
PROC_00033,Methanol-to-Jet Fuel Production via MtO and Oligomerisation,"A conversion process that transforms methanol (MeOH) and El47 into C12 and ThHt through methanol-to-olefins (MtO) followed by oligomerisation, producing jet fuel precursors. Integrated within the net grid as a core conversion pathway for sustainable aviation fuel production.",conversion,Thermochemical Upgrading,transport,"['MeOH', 'El47']","['C12', 'ThHt']"
PROC_00034,High-Temperature Co-Electrolysis of CO₂ and H₂O to Syngas,"High-temperature co-electrolysis converts CO₂ and H₂O into syngas (CO and H₂) using electrical and thermal energy. This process operates as a core conversion node within the energy system, enabling hydrogen and carbon monoxide production for industrial and fuel applications.",conversion,Thermochemical Upgrading,industry,"['El47', 'CO2Sys', 'ThPhII']","['H2Process', 'CO', 'O2']"
PROC_00035,Methane Pyrolysis,"Thermal decomposition of methane (CH4) and El47 into hydrogen (H2) and solid carbon (CBio), producing turquoise hydrogen. This process is part of the near-term technology roadmap for hydrogen production.",conversion,Thermochemical Upgrading,power,"['CH4', 'El47']","['H2', 'CBio']"
PROC_00036,CO2 Post-Combustion Capture via Amine Absorption,"This process involves the capture of CO2 from flue gas using amine absorption, a temperature swing process. It is part of post-combustion carbon capture technologies, typically applied in power generation sectors to reduce CO2 emissions. The reference is based on a plant size of approximately 150 ktCO2 per year.",conversion,Carbon Capture Technologies,power,"['CO2Fluegas', 'El13', 'ThHt']",['CO2Sys']
PROC_00037,Biochar Production via Pyrolysis,"Thermal decomposition of wet biomass in an oxygen-limited environment to produce biochar, syngas, and other byproducts. This process is part of the thermochemical upgrading pathway, contributing to carbon sequestration and waste-to-resource conversion within the energy system.",conversion,Thermochemical Upgrading,industry,"['BioWet', 'Wood']","['CBio', 'ThPhII']"
PROC_00038,Direct Air Capture via Adsorption,"A process that captures CO2 directly from the air using adsorption technology, intended for deployment in 2030 and 2040. It involves the use of thermal and electrical inputs to facilitate the adsorption and desorption cycles, resulting in concentrated CO2 output.",conversion,Carbon Capture,Energy,"['ThHt', 'El47']",['CO2Sys']
PROC_00039,CO2 Post-Combustion Capture via Pressure Swing Adsorption,"A pressure swing adsorption process utilizing Hot-Potassium Carbonate cycling to capture CO2 from flue gas, typically integrated into power or industrial systems for post-combustion carbon capture. The process is referenced for a 150 ktCO2/a plant size in 2030.",conversion,Carbon Capture Technologies,power,"['CO2Fluegas', 'El13', 'ThHt', 'CO2']",['CO2Sys']
PROC_00040,Residential Li-ion Battery Storage,"A residential Li-ion battery storage system converts electrical energy from the grid into chemical energy stored in the battery, and vice versa, enabling energy storage and discharge for household use. It operates within the residential sector, interfacing with the local power grid to manage energy demand and supply.",storage,Energy Storage Systems,residential,['electricity'],['electricity']
PROC_00041,Li-ion Battery (Grid-Scale),"A grid-scale Li-ion battery system that converts electrical energy into stored chemical energy for later use, facilitating energy storage and discharge within the power grid.",storage,Energy Storage Systems,power,['electricity'],['electricity']
PROC_00042,Pumped Hydro Reservoir Storage,"Pumped hydro reservoir storage involves using the potential energy of water stored in an upper reservoir to generate electricity when needed, and pumping water back to the upper reservoir during periods of low demand. It is part of the grid's energy storage system.",storage,Energy Storage Systems,power,['water'],['water']
PROC_00043,Hydro Reservoir Storage,"A process that stores energy by utilizing the potential energy of water in a reservoir, typically involving the movement of water between two reservoirs at different elevations, without the inclusion of pumps or generators.",storage,Reservoir Storage,power,,
PROC_00044,High-Temperature Heat Storage,"High-Temperature Heat Storage involves the capture and retention of thermal energy at elevated temperatures, typically utilizing materials with high heat capacity such as molten salts. This process plays a critical role in balancing energy supply and demand within the power grid by storing excess heat generated during periods of low demand and releasing it during peak demand periods. It is integral to enhancing grid stability and integrating renewable energy sources.",storage,Thermal Storage,power,['heat'],['heat']
PROC_00045,Residential Hot Water Storage Tank,"A thermal storage system that stores energy in the form of hot water for residential use, providing hot water on demand as part of the home heating system.",storage,Thermal Storage,heat,['electricity'],['hot water']
PROC_00046,Seasonal Thermal Storage,"Stores thermal energy seasonally to provide heat for district heating systems, facilitating energy conservation during periods of low demand and releasing it when needed.",storage,Thermal Storage,heat,['heat'],['heat']
PROC_00047,Compressed Hydrogen Storage,"Involves the compression of hydrogen gas into a storage tank, enabling efficient storage and subsequent retrieval for use in energy systems. This process is integral to the energy grid by providing a means to store excess renewable energy in the form of compressed hydrogen, which can be transported and utilized when needed.",storage,Energy Storage Systems,transport,['Hydrogen'],['Compressed Hydrogen']
PROC_00048,Pipeline Linepack Storage,"Storing methane by compressing it within pipeline infrastructure, utilizing the pipeline's capacity to hold compressed gas as a form of storage. This process is integrated into the gas transmission network, allowing for temporary storage and regulation of gas supply within the energy grid.",storage,Pipeline Storage,power,['methane'],['methane']
PROC_00049,Compressed Methane Storage,"A process involving the storage of compressed methane in tanks, serving as part of the energy storage infrastructure within the net grid.",storage,Compressed Gas Storage,power,['Methane'],['Compressed Methane']
PROC_00050,Underground Methane Storage,"Underground methane storage involves injecting methane into underground geological formations for long-term storage, allowing for later extraction and use. This process is part of the energy system's storage infrastructure, facilitating the management of natural gas supply and demand.",storage,Underground Storage,power,['methane'],['methane']
PROC_00051,Compressed CO₂ Storage,"A storage process involving the compression and containment of CO₂ in a tank, facilitating long-term storage as part of carbon capture and storage systems within the energy grid.",storage,Compressed Gas Storage,industry,['CO₂'],['Compressed CO₂']
PROC_00052,Compressed CO Storage,"Involves the compression and storage of carbon monoxide gas in tanks, facilitating its temporary storage within the energy system. This process is integral to carbon capture and storage systems, enabling the secure containment of CO for later use or disposal.",storage,Gas Storage Engineering,Industry,['CO'],['Compressed CO']
PROC_00053,Liquid Fuel Storage (Diesel/Kerosene),"A process involving the storage of liquid fuels such as diesel and kerosene, facilitating their containment and management within the energy system. This process is integral to the distribution and supply chain of liquid fuels in the transport sector.",storage,Storage Engineering,transport,"['diesel', 'kerosene']","['diesel', 'kerosene']"
PROC_00054,Gasoline Storage,"Involves the storage of gasoline in liquid form within tanks, maintaining its stability and availability for transportation use. This process is part of the liquid fuel storage infrastructure, ensuring supply chain reliability.",storage,Fuel Storage,transport,['gasoline'],['gasoline']
PROC_00055,Ammonia Storage,"Storage of ammonia in liquid form within specialized tanks, facilitating its use as a raw material or energy carrier in industrial applications.",storage,Liquid Storage,industry,['ammonia'],['ammonia']
