tech_id,technology_name,technology_description,technology_variant,main_process,main_operation_unit,ontology_iri
TECH_00017,PV Alpine Ground Mounted,"gound-mounted Alpine PV, from ETHZ study in 2024",Alpine,PROC_00011,PV module,
TECH_00018,El Rooftop PV,"rooftop PV, small scale, in 2025",small scale,PROC_00012,Photovoltaic Module,
TECH_00019,U235 Nuclear Electricity,Electricity generation from nuclear power (U235) at node El13.,Pressurised water reactor,PROC_00013,Reactor core,
TECH_00020,Wind Turbine El,Generic wind turbine electricity generation (2020).,Generic Wind Turbine,PROC_00014,Wind Turbine Rotor,
TECH_00021,Wood CHP,Combined heat and power (CHP) generation using wood.,Wood-fired boiler,PROC_00015,Biomass boiler,
TECH_00022,GasFiredBoilerBuilding,Methane-fueled heating system for buildings.,Combustion-based,PROC_00016,Combustion chamber,
TECH_00023,Electric Resistance Heater,Electric heating system for buildings.,Direct Electric Resistance Heating Element,PROC_00017,Resistance Heating Element,
TECH_00024,El Heat Pump Thermal Storage,Electric heating system for buildings with thermal storage.,Thermal Storage Module,PROC_00018,Heat Pump Unit,
TECH_00025,H2 Boiler Thermal Power Plant,Hydrogen-fueled heating system for thermal power plants (2030).,Hydrogen-fueled combustion system,PROC_00019,Combustion chamber,
TECH_00026,El Air-Source Heat Pump,"Generic heat pump for residential heating, fixed COP 4",Generic Residential,PROC_00020,Heat Pump Unit,
TECH_00027,El Heat Pump Industrial,Low-temperature heat upgrade for district heating (2030).,Low-Temperature Industrial Heat Pump,PROC_00021,Heat Pump Compressor Unit,
TECH_00028,Oil Fired Boiler Building,Hydrocarbon-fueled heating system for buildings.,Oil-fired,PROC_00022,Combustion chamber,
TECH_00029,WoodFueledBoiler,Wood-fueled heating system for buildings.,Combustion Chamber,PROC_00023,Furnace,
TECH_00030,Wood Boiler Thermal,Wood-fueled heating system for thermal power plants.,Combustion-Based,PROC_00023,Biomass Furnace,
TECH_00031,HaberBoschAmmoniaSynthesis,Ammonia synthesis (Haber Bosch process),Iron-based catalyst,PROC_00024,Haber–Bosch reactor,
TECH_00032,WetAnaerobicDigestionCH4,Wet biomass anaerobic digestion with gas upgrading,Continuous flow anaerobic digester,PROC_00025,Anaerobic digester reactor,
TECH_00033,H2 Sabatier CH4,Methane synthesis from H2 and CO2 via the thermo catalytic Sabatier reaction.,Nickel-based catalyst,PROC_00026,Catalytic reactor bed,
TECH_00034,Cooking Oil HEFA Hydrotreatment,SAF Production via esterification of used cooking oil and animal fat,HEFA (Hydroprocessing of Esters and Fatty Acids),PROC_00027,HEFA reactor,
TECH_00035,CO2 Hydrogenation to Methanol,Methanol synthesis from CO2 hydrogenation,Copper-based catalyst (Cu/ZnO/Al₂O₃),PROC_00028,Fixed-bed reactor vessel,
TECH_00036,H2 RWGS CO,"Reverse water gas shift reaction plant. Emerging technology, 2030. ",Catalytic Conversion Reactor,PROC_00029,RWGS Reactor,
TECH_00037,El Electrolysis Alkaline,"Electrolysis 2030, Alkaline technology (10 MW) from Danish Energy Reports 2025 is the benchmark ",Alkaline,PROC_00030,Electrolyser stack,
TECH_00038,SyngasFTC12,Hydrocarbon (C12) synthesis via Fischer-Tropsch process.,C12 Fischer-Tropsch,PROC_00031,FT reactor,
TECH_00039,Syngas Fischer-Tropsch C8,Hydrocarbon (C8) synthesis via Fischer-Tropsch process.,C8,PROC_00031,FT reactor,
TECH_00040,Syngas CO Hydrogenation Methane,Methane synthesis from Syngas via the thermo catalytic CO hydrogenation. ,Fixed-bed catalytic reactor,PROC_00026,Sabatier reactor,
TECH_00041,SyngasCatalyticHydrogenationToMethanol,Methanol synthesis from Syngas via the thermo catalytic CO hydrogenation,Thermo-catalytic,PROC_00028,Fixed-bed reactor,
TECH_00042,MSW Gasification Syngas,Municipal solid waste gasification to syngas,Fluidised Bed,PROC_00032,Gasifier,
TECH_00043,MSW Gasification H2,Municipal solid waste gasification to hydrogen,Fluidised Bed,PROC_00032,Gasifier,
TECH_00044,Wood Gasification Hydrogen,Woody biomass gasification to hydrogen,Fluidised bed,PROC_00032,Fluidised bed gasifier,
TECH_00045,WoodyBiomassGasificationSyngas,Woody biomass gasification to syngas,Fluidised bed,PROC_00032,Gasifier,
TECH_00046,MethanolToJetHydrotreatmentC12,Methanol-to-Jet fuel via MtO and oligomerisation. Near-term projection.,MtO-Oligomerisation Hydrotreatment,PROC_00033,Oligomerisation Reactor,
TECH_00047,El CoElectrolysis Syngas,High-temperature co-electrolysis of CO₂ and H₂O to syngas (SOEC). Near-term.,Solid Oxide Electrolysis (SOEC),PROC_00034,SOEC stack,
TECH_00048,Methane Pyrolysis Hydrogen,Methane pyrolysis (turquoise hydrogen). Thermal decomposition of CH₄ into H₂ and solid carbon. Near-term.,Thermal decomposition reactor,PROC_00035,Pyrolysis reactor,
TECH_00049,CO2 Flue Gas Amine Scrubbing,CO2 post combustion capture via Amine washing. Temperature swing process. 2030 reference based on an approx. 150 ktCO2/a plant size. ,Temperature Swing Absorption,PROC_00036,Amine Absorber Column,
TECH_00050,WetBiomassPyrolysisBiochar,Biochar production via pyrolysis of wet biomass.,Wet Biomass Pyrolysis Reactor,PROC_00037,Pyrolysis reactor,
TECH_00051,DirectAirCaptureCO2,Direct air capture using adsorption technology (2030 and 2040).,Adsorption-based Sorbent System,PROC_00038,Adsorption Contact Unit,
TECH_00052,FlueGasCO2PSA,CO2 post combustion capture via Hot-Potassium Carbonate cycling. Pressure swing process. 2030 reference based on an approx. 150 ktCO2/a plant size. ,Hot-Potassium Carbonate,PROC_00039,Pressure Swing Adsorption Unit,
TECH_00053,El Battery Storage Li-ion Residential,"Electric battery storage at home, 2025",Li-ion,PROC_00041,Li-ion battery cell,
TECH_00054,Pumped Hydro Reservoir,"Pumped hydro reservoir, without pump and generator",Reservoir,PROC_00043,Reservoir Structure,
TECH_00055,High Temperature Heat Storage,"A system designed to store thermal energy at elevated temperatures using materials with high heat capacity, such as molten salts or ceramics, enabling efficient heat retention and release for industrial processes, concentrated solar power, or seasonal thermal applications. Operates within temperature ranges typically exceeding 300°C, with configurations including insulated storage tanks, heat exchangers, and phase-change material containment units.",Molten Salt Sensible Heat Storage,PROC_00044,High-Temperature Molten Salt Storage Vessel,
TECH_00056,Residential Hot Water Tank,Hot water storage tank at home,Residential,PROC_00045,Hot Water Storage Tank,
TECH_00057,Seasonal Thermal Storage,"Thermal storage for district heating, seasonal storage",Sensible Heat Storage,PROC_00046,Hot Water Storage Tank,
TECH_00058,Compressed H2 Tank,"A pressurized storage system designed to hold hydrogen gas at high pressures (typically 200-700 bar) within robust cylindrical or spherical tanks constructed from carbon fiber-reinforced composite materials. The system includes safety valves, pressure sensors, and insulation to manage thermal expansion and ensure containment under extreme conditions.",High-pressure composite cylindrical tank,PROC_00047,Pressurized hydrogen containment vessel,
TECH_00059,CH4PipelineLinepackStorage,Storaging methane via compressing in the pipelines,Linepack,PROC_00048,Pipeline infrastructure (linepack),
TECH_00060,Compressed Methane Tank,Tank storage for methane (compressed),N/A,PROC_00049,Pressurized Storage Tank,
TECH_00061,UndergroundMethaneStorage,Underground methane storage,Salt cavern,PROC_00050,Storage cavern,
TECH_00062,Compressed CO2 Tank,"A high-pressure storage system utilizing cylindrical or spherical tanks constructed from carbon steel or stainless steel, reinforced with carbon fiber composites to withstand extreme pressures (up to 1000 psi). Equipped with safety valves, pressure gauges, and insulation to minimize thermal losses. Designed for long-term underground or above-ground storage of compressed CO₂, with leakage prevention mechanisms and corrosion-resistant coatings.",Cylindrical pressure vessel with carbon fiber overwrap and dual-layer stainless steel liner,PROC_00051,Pressurized CO₂ storage vessel with integrated compression chamber,
TECH_00063,Compressed CO Tank,"A pressurized storage system designed to hold carbon monoxide (CO) gas at high pressures within a robust tank structure, typically constructed from materials such as steel or carbon fiber composites to ensure safety and efficiency. The system includes mechanisms for gas injection, pressure regulation, and containment under operational conditions.",High-Pressure Carbon Fiber Composite Tank,PROC_00052,Compressed Gas Storage Tank,
TECH_00064,C12 Liquid Fuel Tank,"A tank storage system designed for the secure containment of liquid fuels such as diesel and kerosene, featuring robust materials, pressure regulation, and safety mechanisms to prevent leaks and ensure operational integrity.",C12 Standard Liquid Fuel Tank (Double-Walled Corrosion-Resistant Steel),PROC_00053,Liquid Fuel Containment Unit,
TECH_00065,C8Tank,"A tank storage system designed for liquid fuels and chemicals, specifically configured for gasoline storage. The system utilizes C8 material construction, offering corrosion resistance and structural integrity for long-term storage. Operates under standard ambient conditions with pressure and temperature controls to ensure safety and efficiency.",C8,PROC_00054,Liquid fuel tank,
TECH_00066,Ammonia Storage Tank,Tank storage for ammonia,Tank,PROC_00055,Storage Tank,
